Judges,Tables,Occasions,Sessions,Glasses,Plots,WineReps,Bottles,Treatments,Riesling,Sultana,Shiraz,Mataro
2,2,2,2,8,3,2,2,3,16,9.5,17,14.5
2,2,2,2,9,3,3,2,3,15,9.5,16,13.5
2,2,2,2,10,4,1,2,4,17.5,12,17.5,16
2,2,2,2,11,4,2,2,4,13,9.5,16.5,14.5
2,2,2,2,12,4,3,2,4,13,12,15,14
3,3,1,1,1,1,1,1,1,17.5,10,14,14.5
3,3,1,1,2,1,2,1,1,16.5,11,15,15.5
3,3,1,1,3,1,3,1,1,15.5,10.5,16,13
3,3,1,1,4,2,1,1,2,17,11.5,18,15
3,3,1,1,5,2,2,1,2,13.5,13,15.5,15.5
3,3,1,1,6,2,3,1,2,16,12,14.5,15
3,3,1,1,7,3,1,1,3,14.5,10,14.5,14.5
3,3,1,1,8,3,2,1,3,16,9.5,16,14.5
3,3,1,1,9,3,3,1,3,15,9.5,16.5,13.5
3,3,1,1,10,4,1,1,4,16,12.5,16.5,17
3,3,1,1,11,4,2,1,4,15.5,10.5,16,15
3,3,1,1,12,4,3,1,4,15.5,12,14.5,15
3,3,1,2,1,1,1,2,1,15,10,13.5,15
3,3,1,2,2,1,2,2,1,17.5,11,15,14
3,3,1,2,3,1,3,2,1,16,10.5,15.5,13.5
3,3,1,2,4,2,1,2,2,15,11.5,18,15.5
3,3,1,2,5,2,2,2,2,15.5,10,16,15.5
3,3,1,2,6,2,3,2,2,16.5,12,14.5,14
3,3,1,2,7,3,1,2,3,15.5,10,13.5,14.5
3,3,1,2,8,3,2,2,3,16,9.5,15.5,10.5
3,3,1,2,9,3,3,2,3,14.5,9.5,16.5,14
3,3,1,2,10,4,1,2,4,16,12,17,14
3,3,1,2,11,4,2,2,4,16,9.5,16.5,13.5
3,3,1,2,12,4,3,2,4,16.5,12,14,14.5
3,3,2,1,1,1,1,1,1,17.5,11.5,13.5,14
3,3,2,1,2,1,2,1,1,17,16,15,14
3,3,2,1,3,1,3,1,1,17,13,15.5,13
3,3,2,1,4,2,1,1,2,14.5,17,16.5,16
3,3,2,1,5,2,2,1,2,13.5,14,14.5,15
3,3,2,1,6,2,3,1,2,14.5,16.5,14,12
3,3,2,1,7,3,1,1,3,16,12.5,14,15
3,3,2,1,8,3,2,1,3,16.5,16,16,15.5
3,3,2,1,9,3,3,1,3,13,13,15,12
3,3,2,1,10,4,1,1,4,14,16,17.5,15
3,3,2,1,11,4,2,1,4,16,14.5,16.5,14.5
3,3,2,1,12,4,3,1,4,16,15.5,14.5,15.5
3,3,2,2,1,1,1,2,1,15,13,14,14
3,3,2,2,2,1,2,2,1,17,15.5,14.5,14
3,3,2,2,3,1,3,2,1,14,14,16.5,13
3,3,2,2,4,2,1,2,2,16,16.5,15.5,17
3,3,2,2,5,2,2,2,2,14.5,15,14.5,15.5
3,3,2,2,6,2,3,2,2,16,15.5,14.5,11.5
3,3,2,2,7,3,1,2,3,13,12,13,15
3,3,2,2,8,3,2,2,3,16,15,15.5,14.5
3,3,2,2,9,3,3,2,3,14.5,11.5,15.5,13
3,3,2,2,10,4,1,2,4,16,14,17,15.5
3,3,2,2,11,4,2,2,4,16,13,16,13.5
3,3,2,2,12,4,3,2,4,15.5,17,15,14
